show_id,air_date,game_type,topic,money,question,answer
8882,1992-02-07,Regular,COMPLETES THE PLAY TITLE,100,"""A Shot in the...""",Dark
8882,1992-02-07,Regular,U.S. GOVERNMENT,100,"Latin for ""I forbid"", it's the president's power to reject legislation",veto
8882,1992-02-07,Regular,MOVIE QUOTES,100,"""I guess Rosebud is just a piece in a jigsaw puzzle -- -a missing piece""",Citizen Kane
8882,1992-02-07,Regular,WORLD CAPITALS,100,The Pantheon in this capital city contains the tombs of Voltaire & Victor Hugo,Paris
8882,1992-02-07,Regular,GOING TO EXTREMES,100,"This Arlington, Virginia structure covers the largest ground area of any office building",the Pentagon
8882,1992-02-07,Regular,WILD ABOUT HARRY,100,"Magician who was born Ehrich Weiss in Hungary & escaped to Appleton, Wisconsin as a child",Houdini
8882,1992-02-07,Regular,COMPLETES THE PLAY TITLE,200,"""Lady Windermere's...""",Fan
8882,1992-02-07,Regular,U.S. GOVERNMENT,200,This Commerce Dept. agency is best known for collecting & publishing population statistics,the Census Bureau
8882,1992-02-07,Regular,MOVIE QUOTES,200,"""I coulda had class! I coulda been a contender! I coulda been somebody!""",On the Waterfront
8882,1992-02-07,Regular,WORLD CAPITALS,200,"Yung Lo, the third Ming emperor, founded this capital city in the 15th century",Peking
8882,1992-02-07,Regular,GOING TO EXTREMES,200,"The greatest distance from this celestial object to the Earth is approximately 252,000 miles",the Moon
8882,1992-02-07,Regular,WILD ABOUT HARRY,200,"He played Studs Lonigan in an NBC miniseries before becoming an ""L.A. Law"" man",Harry Hamlin
8882,1992-02-07,Regular,COMPLETES THE PLAY TITLE,300,"""Speed-the-...""",Plow
8882,1992-02-07,Regular,U.S. GOVERNMENT,300,"To distinguish it from a grand jury, a trial jury is often called this, from the French for ""small""",petit
8882,1992-02-07,Regular,MOVIE QUOTES,300,"""I am big. It's the pictures that got small""",Sunset Boulevard
8882,1992-02-07,Regular,WORLD CAPITALS,300,"After Cambodia fell to Communists, most residents of this capital were ordered to move",Phnom Penh
8882,1992-02-07,Regular,GOING TO EXTREMES,300,The most massive living thing is the General Sherman tree in this California national park,Sequoia National Park
8882,1992-02-07,Regular,WILD ABOUT HARRY,300,She was the blonde in the rock group Blondie,Debbie Harry
8882,1992-02-07,Regular,COMPLETES THE PLAY TITLE,400,"""The Skin of Our...""",Teeth
8882,1992-02-07,Regular,U.S. GOVERNMENT,400,In 1949 this Cabinet dept. was created to replace the Nat'l Military Establishment,the Defense Department
8882,1992-02-07,Regular,MOVIE QUOTES,400,"""We didn't exactly believe your story, Miss O'Shaughnessy, we believed your $200""",The Maltese Falcon
8882,1992-02-07,Regular,WORLD CAPITALS,400,"Shortly after its liberation from Ottoman rule, it became Bulgaria's capital",Sofia
8882,1992-02-07,Regular,GOING TO EXTREMES,400,"Developed by Aramco, the world's largest oil field is the Ghawar in this country",Saudi Arabia
8882,1992-02-07,Regular,WILD ABOUT HARRY,400,Frank Sinatra got his first big break crooning tunes with this trumpeter's band,Harry James
8882,1992-02-07,Regular,COMPLETES THE PLAY TITLE,500,"""He Who Gets...""",Slapped
8882,1992-02-07,Regular,U.S. GOVERNMENT,500,One of two specific crimes mentioned in the Constitution for which the Pres. or VP can be impeached,treason (or bribery)
8882,1992-02-07,Regular,MOVIE QUOTES,500,"""Do you, Alice, Ruth, Martha, Liza, Sarah, Dorcas, take these men to be your... husbands?""",Seven Brides for Seven Brothers
8882,1992-02-07,Regular,WORLD CAPITALS,1300,It's home to the New Zealand Symphony Orchestra,Wellington
8882,1992-02-07,Regular,GOING TO EXTREMES,500,The largest spider is a bird-eating spider found on this continent,South America
8882,1992-02-07,Regular,WILD ABOUT HARRY,500,"Graham Greene wrote the screenplay, then the book about the search for this Harry",Harry Lime
8882,1992-02-07,Regular,FAMOUS AMERICANS,200,"When he left the presidency he retired to his farm near Gettysburg, Penn.",Eisenhower
8882,1992-02-07,Regular,TRAVEL & TOURISM,200,"If you're into gambling, you might check out the casinos in Wiesbaden or Baden-Baden in this country The nickname shared by Queensland, Australia & Florida, USA",Germany the Sunshine State
8882,1992-02-07,Regular,THE QUEEN'S ENGLISH,200,This item is called a nappy though babies also wear them when they're awake,a diaper
8882,1992-02-07,Regular,RELIGION,200,The stoup at the entrance of a Catholic Church contains this liquid,holy water
8882,1992-02-07,Regular,FICTION,200,"This author's grandfather, the blind Senator Gore, is a character in his novel ""Hollywood""",Gore Vidal
8882,1992-02-07,Regular,THE MIDDLE AGES,200,The story of her naked ride first appeared in the chronicle of Roger of Wendover,Lady Godiva
8882,1992-02-07,Regular,FAMOUS AMERICANS,400,This speed skater won almost half the total medals that went to the U.S. at the 1980 Winter Olympics,Eric Heiden
8882,1992-02-07,Regular,TRAVEL & TOURISM,400,Bogota's airport is named for this fabled land the Spaniards were seeking,El Dorado
8882,1992-02-07,Regular,THE QUEEN'S ENGLISH,400,The accumulator is this storage device on a car,the battery
8882,1992-02-07,Regular,RELIGION,400,"Members of this religion attach a mezuzah, a scroll containing biblical verses, to their homes",Judaism
8882,1992-02-07,Regular,FICTION,2200,"""Peachtree Road"" has been called Anne Rivers Siddons' ""Love Letter to"" this city",Atlanta
8882,1992-02-07,Regular,THE MIDDLE AGES,400,This city became the capital of Russia during the reign of Ivan III,Moscow
8882,1992-02-07,Regular,FAMOUS AMERICANS,600,"He was born near Limestone, Tenn. in 1786 & died at the Alamo",Davy Crockett
8882,1992-02-07,Regular,TRAVEL & TOURISM,600,The name of the palace whose tower contains Big Ben,Westminster
8882,1992-02-07,Regular,THE QUEEN'S ENGLISH,600,Pip emma is this part of the day,p.m. (afternoon)
8882,1992-02-07,Regular,RELIGION,600,This denomination distributes the magazines The Watchtower & Awake!,Jehovah's Witnesses
8882,1992-02-07,Regular,FICTION,600,"In an Oliver Goldsmith novel, Olivia Primrose's father is ""The Vicar of"" this",Wakefield
8882,1992-02-07,Regular,THE MIDDLE AGES,600,"Ogadai, this man's son, succeeded him as Mongol ruler in 1229",Genghis Khan
8882,1992-02-07,Regular,FAMOUS AMERICANS,800,"Born in Harrisburg, Penn., he represents Ga.'s 6th District in the House & is minority whip",Newt Gingrich
8882,1992-02-07,Regular,TRAVEL & TOURISM,800,"Now a gov't building, the Palace of the Grand Masters in this country was built for the Knights of St. John",Malta
8882,1992-02-07,Regular,THE QUEEN'S ENGLISH,800,Rounders is a children's game resembling this American pastime,baseball
8882,1992-02-07,Regular,RELIGION,800,"He translated the ""Book of Mormon"" with the aid of special stones called Urim & Thummim",Joseph Smith
8882,1992-02-07,Regular,FICTION,800,"Long Tom Coffin, a character in his novel ""The Pilot"", has been called ""a nautical version of Natty Bumppo""",James Fenimore Cooper
8882,1992-02-07,Regular,THE MIDDLE AGES,800,This youngest son of Henry II conspired to take his brother Richard's throne,(King) John
8882,1992-02-07,Regular,FAMOUS AMERICANS,1500,"After the first successful A-bomb test he said, ""I am become death, the destroyer of worlds""",Oppenheimer
8882,1992-02-07,Regular,TRAVEL & TOURISM,1000,"Linked to Hong Kong by jetfoil or hydrofoil, it's the oldest European settlement in the Far East",Macao
8882,1992-02-07,Regular,THE QUEEN'S ENGLISH,1000,It's what you'd like to do if you're Peckish,eat
8882,1992-02-07,Regular,RELIGION,1000,The Eightfold Path leading to the end of suffering is 1 of this faith's 4 Noble Truths,Buddhism
8882,1992-02-07,Regular,FICTION,1000,"Nationality of the author of the famous 1916 antiwar novel ""The Four Horsemen of the Apocalypse""",Spanish
8882,1992-02-07,Regular,THE MIDDLE AGES,1000,"The Popes made their home in this French city, not Rome, for most of the 14th century",Avignon
8882,1992-02-07,Regular,THE CIVIL WAR,,It was the only Confederate capital east of the Mississippi never captured by Union troops,"Tallahassee, Florida"
